book1,book2,weight
51231,592390,5
52722,109549,3
52722,130535,6
52722,592390,3
109549,592390,2
130535,592390,5
1387,5665,7
1387,26759,5
1387,26940,8
5665,26759,9
5666,14124,12
5666,26759,10
5667,26759,9
5668,26759,15
6882,26940,15
6883,14124,25
6883,26759,3
6883,26940,10
14124,26940,6
26759,26886,11
26759,26940,3
26759,111474,12
26940,27579,15
26940,51231,10
1526,3946,20
1526,3947,28
2782,3946,3
2782,3947,2
2782,26999,3
2782,27579,7
2782,51231,5
2782,130535,7
5666,26999,10
5668,26999,16
26999,27579,11
25970,117966,7
49052,117966,5
52722,117966,6
107021,117966,6
1387,117966,10
1387,253468,3
